Id,LotFrontage,MSZoning,YearBuilt,SaleCondition,SalePrice,Label
1001,74.0,RL,1952,Normal,82000,Y
1002,60.0,RL,1920,Abnorml,86000,Y
1003,75.0,RL,2006,Normal,232000,Y
1004,,RL,1976,Normal,136905,Y
1005,43.0,RL,2005,Normal,181000,Y
1006,65.0,RL,1977,Normal,149900,Y
1007,,RL,1970,Normal,163500,Y
1008,21.0,RM,1970,Normal,88000,Y
1009,43.0,RL,2004,Normal,240000,Y
1010,60.0,RL,1926,Normal,102000,Y
1011,115.0,RL,1948,Normal,135000,Y
1012,75.0,RL,1965,Normal,100000,Y
1013,55.0,RL,1923,Normal,165000,Y
1014,60.0,RM,1910,Normal,85000,Y
1015,60.0,RL,1948,Normal,119200,Y
1016,70.0,RL,2001,Normal,227000,Y
1017,73.0,RL,1996,Normal,203000,Y
1018,,RL,1984,Abnorml,187500,Y
1019,,RL,1991,Normal,160000,Y
1020,43.0,RL,2005,Normal,213490,Y
1021,60.0,RL,2005,Normal,176000,Y
1022,64.0,RL,2006,Partial,194000,Y
1023,52.0,RM,1930,Normal,87000,Y
1024,43.0,RL,2005,Normal,191000,Y
1025,,RL,1976,Abnorml,287000,Y
1026,70.0,RL,1972,Normal,112500,Y
1027,73.0,RL,1960,Normal,167500,Y
1028,71.0,RL,2007,Partial,293077,Y
1029,79.0,RL,1941,Normal,105000,Y
1030,21.0,RM,1972,Normal,118000,Y
1031,,RH,1916,Normal,160000,Y
1032,102.0,RL,1920,Normal,197000,Y
1033,,RL,1993,Abnorml,310000,Y
1034,,RL,2002,Normal,230000,Y
1035,50.0,RL,1938,Normal,119750,Y
1036,,RL,1957,Normal,84000,Y
1037,89.0,RL,2007,Normal,315500,Y
1038,,RL,2001,Normal,287000,Y
1039,21.0,RM,1970,Normal,97000,Y
1040,21.0,RM,1970,Normal,80000,Y
1041,88.0,RL,1957,Normal,155000,Y
1042,,RL,1966,Normal,173000,Y
1043,34.0,RL,2005,Normal,196000,Y
1044,86.0,RL,1990,Normal,262280,Y
1045,80.0,RL,1981,Normal,278000,Y
1046,,RL,1955,Normal,139600,Y
1047,85.0,RL,2005,Partial,556581,Y
1048,57.0,RL,1994,Normal,145000,Y
1049,100.0,RL,1960,Normal,115000,Y
1050,60.0,RL,1946,Abnorml,84900,Y
1051,73.0,RL,2007,Partial,176485,Y
1052,103.0,RL,2007,Partial,200141,Y
1053,100.0,RL,1964,Normal,165000,Y
1054,68.0,RL,1957,Normal,144500,Y
