Id,TotalBsmtSF,1stFlrSF,2ndFlrSF
1001,0,944,0
1002,691,691,0
1003,1574,1574,0
1004,1680,1680,0
1005,1346,1504,0
1006,985,985,0
1007,1657,1657,0
1008,546,546,546
1009,1710,1710,0
1010,1008,1008,0
1011,720,720,551
1012,0,1664,0
1013,602,900,602
1014,1022,1022,0
1015,1082,1082,0
1016,810,810,855
1017,1504,1504,0
1018,1220,1360,0
1019,384,802,670
1020,1362,1506,0
1021,1132,1132,0
1022,1199,1220,0
1023,912,912,336
1024,1346,1504,0
1025,1565,2898,0
1026,882,882,0
1027,1268,1264,0
1028,1638,1646,0
1029,768,968,408
1030,672,672,546
1031,686,948,980
1032,824,1687,998
1033,1338,1352,1168
1034,1654,1654,0
1035,920,954,0
1036,0,845,0
1037,1620,1620,0
1038,1055,1055,1208
1039,546,798,546
1040,630,630,0
1041,1134,1803,0
1042,800,800,832
1043,1306,1306,0
1044,1475,1532,797
1045,2524,2524,0
1046,0,1733,0
1047,1992,1992,876
1048,990,990,0
1049,0,1771,0
1050,0,930,0
1051,1302,1302,0
1052,1316,1316,0
1053,816,1127,850
1054,1216,1526,0
1055,1065,1091,898
1056,1193,1523,0
1057,1364,1364,0
1058,973,979,871
1059,1104,1130,1054
1060,854,1096,895
1061,1338,1338,0
1062,894,894,0
1063,662,1422,915
1064,1103,1103,0
1065,1154,1154,0
1066,1306,1306,954
1067,799,799,772
1068,780,798,813
1069,942,1291,1230
1070,845,893,0
1071,1048,1048,0
1072,727,829,727
1073,810,1002,454
1074,690,698,728
1075,1240,1240,0
1076,800,960,780
1077,796,1096,370
1078,1096,1096,0
1079,848,848,0
1080,990,990,0
1081,1258,1258,0
1082,1040,1040,0
1083,1459,1459,0
1084,1251,1251,0
1085,691,691,807
1086,936,996,0
1087,546,546,546
1088,1082,1082,871
1089,970,970,739
1090,1247,1247,0
1091,0,1040,0
1092,600,624,628
1093,1181,1390,304
1094,864,1200,0
1095,936,936,0
1096,1314,1314,0
1097,684,773,582
1098,1074,1088,0
1099,672,757,567
1100,1271,1601,0
1101,290,438,0
1102,950,950,0
1103,1010,1134,0
1104,655,1194,0
1105,630,630,672
1106,1463,1500,1122
1107,910,1442,0
1108,868,887,1134
1109,924,948,742
1110,1836,1836,0
1111,773,773,885
1112,803,1098,866
1113,816,816,0
1114,1008,1008,0
1115,833,833,0
1116,1734,1734,0
1117,408,779,640
1118,894,894,0
1119,533,1021,580
1120,1040,1040,0
1121,1012,1012,0
1122,1552,1552,0
1123,672,960,0
1124,698,698,0
1125,384,812,670
1126,1005,1005,0
1127,1373,1555,0
1128,1530,1530,0
1129,847,847,1112
1130,936,936,0
1131,1122,1328,653
1132,974,974,0
1133,1008,1178,1032
1134,1128,1142,878
1135,916,916,684
1136,960,986,0
1137,1032,1032,220
1138,780,780,240
1139,1567,1567,0
1140,915,1167,0
1141,952,952,0
1142,780,1088,780
1143,1466,1466,1362
1144,1006,1006,0
1145,672,672,252
1146,1042,1042,534
1147,1298,1298,0
1148,704,860,704
1149,572,572,539
1150,650,832,650
1151,932,932,0
1152,1466,1466,0
1153,1073,1811,0
1154,816,816,0
1155,864,902,918
1156,1437,1437,0
1157,1219,1265,0
1158,1314,1314,0
1159,1580,1580,0
1160,901,943,933
1161,855,855,601
1162,1296,1640,0
1163,894,894,0
1164,1198,1258,0
1165,1360,1432,0
1166,1502,1502,0
1167,1694,1694,0
1168,959,959,712
1169,1127,1236,872
1170,1930,1831,1796
1171,1096,1118,0
1172,1261,1261,0
1173,625,625,625
1174,1598,1636,971
1175,952,1170,1175
1176,1683,2129,743
1177,876,923,0
1178,818,818,406
1179,731,820,523
1180,0,1124,0
1181,1216,1298,1216
1182,1600,1652,0
1183,2396,2411,2065
1184,1120,1130,0
1185,1572,1572,0
1186,784,949,272
1187,978,1014,685
1188,1624,1624,0
1189,831,831,829
1190,994,1028,776
1191,1249,1622,0
1192,776,764,677
1193,702,842,630
1194,1224,1224,0
1195,663,663,689
1196,728,728,728
1197,879,879,984
1198,815,815,875
1199,1212,1212,0
1200,1051,1382,0
1201,864,864,0
1202,866,866,913
1203,884,884,464
1204,1630,1630,0
1205,1056,1074,0
1206,2158,2196,0
1207,1056,1056,0
1208,1682,1700,0
1209,931,1283,0
